City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
156,Gabu,GW,12.2833,-14.2167,72.57,98,100,3.69,overcast clouds,0.0,0
157,Shelburne,CA,44.0787,-80.2041,67.24,60,1,4.32,clear sky,0.0,0
158,Qarchi Gak,AF,37.04,66.7889,64.49,20,0,10.74,clear sky,0.0,0
159,Goderich,CA,43.7501,-81.7165,71.56,64,0,3.44,clear sky,0.0,0
160,Iqaluit,CA,63.7506,-68.5145,46.13,81,75,5.75,broken clouds,0.0,0
161,Gat,IL,31.61,34.7642,79.48,100,0,2.62,clear sky,0.0,0
162,Benemerito De Las Americas,MX,16.5167,-90.6439,79.12,88,86,1.92,overcast clouds,0.0,0
163,Beira,MZ,-19.8436,34.8389,67.28,77,1,7.16,clear sky,0.0,0
164,Cariacica,BR,-20.2639,-40.42,70.99,83,75,4.61,broken clouds,0.0,0
165,Pangnirtung,CA,66.1451,-65.7125,46.9,77,85,2.68,overcast clouds,0.0,0
166,Constitucion,CL,-35.3333,-72.4167,50.7,92,100,17.11,overcast clouds,0.0,0
167,Todos Santos,MX,23.45,-110.2167,93.0,82,32,10.18,scattered clouds,0.0,0
168,Vardo,NO,70.3705,31.1107,46.13,76,100,17.69,overcast clouds,0.0,0
169,Lumberton,US,34.6182,-79.0086,82.71,79,99,7.58,overcast clouds,0.0,0
170,Pevek,RU,69.7008,170.3133,32.88,98,100,4.81,overcast clouds,0.0,0
171,Rio Grande,BR,-32.035,-52.0986,56.95,85,2,4.12,clear sky,0.0,0
172,Dwarka,IN,22.2394,68.9678,80.71,77,99,13.51,overcast clouds,0.0,0
173,Xuddur,SO,4.1213,43.8894,69.37,78,40,17.58,scattered clouds,0.0,0
174,Belyy Yar,RU,53.6039,91.3903,57.09,94,0,2.24,clear sky,0.0,0
175,Boajibu,SL,8.1833,-11.3333,71.53,99,100,1.7,light rain,0.85,0
176,Luderitz,NA,-26.6481,15.1594,55.8,69,2,9.04,clear sky,0.0,0
177,Port Alfred,ZA,-33.5906,26.891,58.98,76,0,13.53,clear sky,0.0,0
178,Goundam,ML,16.4145,-3.6708,89.44,46,47,11.95,scattered clouds,0.0,0
179,Port Elizabeth,ZA,-33.918,25.5701,55.69,94,0,2.3,clear sky,0.0,0
180,Acapulco,MX,16.8634,-99.8901,85.82,74,90,4.61,overcast clouds,0.0,0
181,Srednekolymsk,RU,67.45,153.6833,51.6,52,100,9.26,overcast clouds,0.0,0
182,Airai,TL,-8.9266,125.4092,68.0,57,15,5.08,few clouds,0.0,0
