City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
356,Eganville,CA,74.53,scattered clouds,45.5334,-77.0994,Egan Inn
357,Yatou,CN,74.8,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
359,Dandong,CN,71.13,overcast clouds,40.1292,124.3947,Yiranju Farmstay
369,Milkovo,RU,68.25,scattered clouds,54.7167,158.6167,"Hotel ""Geologist"""
371,Moranbah,AU,66.04,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
372,Gazli,UZ,71.1,clear sky,40.1333,63.45,
373,Firozpur,IN,84.42,few clouds,30.9167,74.6,Singhz Guest House
376,Victoria,HK,83.97,scattered clouds,22.2855,114.1577,Mini Hotel Central
377,Tete,MZ,71.69,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
379,Ilhabela,BR,67.46,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
380,Apatfalva,HU,75.43,few clouds,46.1667,20.5833,Pensiunea Anka
381,Manzil Salim,TN,80.6,clear sky,35.8567,8.4765,mohamed ben khlil omri
384,Bengkulu,ID,74.12,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
388,Ergolding,DE,67.78,overcast clouds,48.5833,12.1667,Hotel Lifestyle
389,Sokoni,TZ,76.03,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
390,Wainwright,CA,84.11,scattered clouds,52.839,-110.8572,Ramada by Wyndham Wainwright
392,Baie-Comeau,CA,67.68,scattered clouds,49.2168,-68.1489,Travelodge by Wyndham Baie-Comeau
394,Tole,UA,68.5,clear sky,44.7167,33.8167,"Kompleks ""Rus'"""
397,Taldan,RU,65.14,overcast clouds,53.6667,124.8,
399,Boyolangu,ID,72.75,broken clouds,-8.1181,111.8935,Yos ega cv
401,Port-Gentil,GA,76.77,broken clouds,-0.7193,8.7815,Fengshui Residence
402,Tarakan,ID,78.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
